epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.182,1.99882,11.3924,2.23223,0.76989,0.88889,0.81363,0.49894,1.54024,10.604,2.10658,0.00038,0.00038,0.00038
2,168.342,1.3441,2.92642,1.55184,0.00068,0.38889,0.00078,0.00022,3.75207,12.5866,7.96408,0.000760695,0.000760695,0.000760695
3,223.524,1.47309,1.74308,1.60663,0.83333,0.27778,0.71389,0.26611,2.2764,29.3828,9.64742,0.00112159,0.00112159,0.00112159
4,277.15,1.46375,1.39965,1.5652,0.00501,1,0.00685,0.00308,2.62356,nan,92.3245,0.00146269,0.00146269,0.00146269
5,326.016,1.52878,1.26276,1.6212,0,0,0,0,5.30254,11.1851,20.461,0.00178398,0.00178398,0.00178398
6,377.074,1.28766,1.11138,1.43732,0.00044,0.05556,3e-05,1e-05,nan,nan,nan,0.0017525,0.0017525,0.0017525
7,430.616,1.32436,0.98676,1.42818,0.03773,0.33333,0.02832,0.00799,2.73389,13.8278,4.3628,0.001703,0.001703,0.001703
8,486.566,1.34208,1.03696,1.49939,0.72926,0.89819,0.91632,0.60148,1.22815,4.60541,1.57213,0.0016535,0.0016535,0.0016535
9,538.265,1.29971,0.99044,1.39649,0.92363,1,0.94868,0.58792,1.15086,nan,1.6296,0.001604,0.001604,0.001604
10,592.282,1.22541,0.88956,1.39557,0.94204,1,0.98079,0.54034,1.24487,nan,1.65303,0.0015545,0.0015545,0.0015545
11,640.877,1.25897,0.97474,1.3958,0.93274,0.83333,0.81793,0.56251,1.02345,nan,1.40524,0.001505,0.001505,0.001505
12,694.357,1.16468,0.79325,1.32706,0.9443,0.94207,0.92,0.7237,1.46986,nan,1.83841,0.0014555,0.0014555,0.0014555
13,748.855,1.09847,0.79955,1.33948,0.36857,0.27778,0.24978,0.15482,2.92238,3.78259,4.20273,0.001406,0.001406,0.001406
14,801.261,1.18502,0.79761,1.35215,0.9377,1,0.95711,0.62671,1.00305,1.42841,1.37553,0.0013565,0.0013565,0.0013565
15,851.333,1.15887,0.71721,1.33381,0.93512,1,0.95711,0.65317,1.03686,1.00764,1.37195,0.001307,0.001307,0.001307
16,903.311,1.07763,0.67232,1.26752,0.94353,1,0.96868,0.70926,0.96459,0.70465,1.28113,0.0012575,0.0012575,0.0012575
17,956.107,1.09808,0.6587,1.27117,0.94315,1,0.97184,0.67576,1.05725,0.5615,1.3268,0.001208,0.001208,0.001208
18,1010.75,1.04469,0.67687,1.24382,0.94345,1,0.96868,0.70406,1.02615,0.56189,1.26131,0.0011585,0.0011585,0.0011585
19,1064.58,1.06018,0.69277,1.25907,0.94356,1,0.97763,0.79516,0.89638,0.47486,1.18419,0.001109,0.001109,0.001109
20,1113.59,0.97017,0.61362,1.24007,0.9415,1,0.96026,0.78487,0.90799,0.54777,1.20828,0.0010595,0.0010595,0.0010595
21,1166.87,1.02319,0.6512,1.20633,0.94282,1,0.98658,0.78228,0.95518,0.52928,1.26192,0.00101,0.00101,0.00101
22,1218.14,0.95394,0.58708,1.19119,0.94417,1,0.98921,0.76922,0.83331,0.61756,1.16415,0.0009605,0.0009605,0.0009605
23,1274.93,1.01816,0.62248,1.20114,0.94308,1,0.99237,0.78024,0.98874,0.5287,1.24345,0.000911,0.000911,0.000911
24,1327.34,0.96458,0.60544,1.1913,0.94403,1,0.99237,0.82111,0.90306,0.40967,1.21565,0.0008615,0.0008615,0.0008615
25,1383.89,0.92705,0.62528,1.20559,0.94591,1,0.995,0.78537,0.86065,0.5142,1.1895,0.000812,0.000812,0.000812
26,1437.55,0.89081,0.60403,1.17573,0.9458,1,0.995,0.75397,0.97218,0.49002,1.24341,0.0007625,0.0007625,0.0007625
27,1490.36,0.88512,0.55734,1.13626,0.94423,1,0.98921,0.82476,0.84482,0.47796,1.14955,0.000713,0.000713,0.000713
28,1544.73,0.89444,0.52989,1.17195,0.9434,1,0.98921,0.7728,0.89012,0.51614,1.15247,0.0006635,0.0006635,0.0006635
29,1599.69,0.85267,0.53713,1.13744,0.94466,1,0.995,0.84257,0.87438,0.52812,1.1794,0.000614,0.000614,0.000614
30,1653.03,0.85493,0.55258,1.15568,0.94414,1,0.98079,0.82929,0.91946,0.53434,1.18607,0.0005645,0.0005645,0.0005645
31,1725.05,0.77089,0.46005,1.18514,0.94431,1,0.98921,0.80412,0.9077,0.46607,1.22254,0.000515,0.000515,0.000515
32,1778.61,0.75179,0.39631,1.155,0.94454,1,0.98342,0.8317,0.83339,0.4717,1.15776,0.0004655,0.0004655,0.0004655
33,1833.77,0.79333,0.42988,1.17144,0.94446,1,0.98921,0.79983,1.06914,0.43924,1.30538,0.000416,0.000416,0.000416
34,1887.42,0.72585,0.40633,1.0972,0.94446,1,0.99237,0.80996,0.8692,0.39004,1.14527,0.0003665,0.0003665,0.0003665
35,1939.91,0.73767,0.40863,1.11684,0.94679,1,0.995,0.83049,0.9321,0.39841,1.20562,0.000317,0.000317,0.000317
36,1994.11,0.67266,0.38357,1.06926,0.94577,1,0.995,0.84904,0.84329,0.39261,1.1708,0.0002675,0.0002675,0.0002675
37,2052.15,0.70302,0.37912,1.05106,0.94449,1,0.99237,0.83277,0.74946,0.38915,1.1178,0.000218,0.000218,0.000218
38,2100.88,0.65044,0.3797,1.07582,0.94443,1,0.99237,0.82802,0.81902,0.38528,1.1814,0.0001685,0.0001685,0.0001685
39,2152.71,0.62724,0.35637,1.07134,0.94448,1,0.98921,0.82397,0.86597,0.38316,1.16851,0.000119,0.000119,0.000119
40,2209.95,0.61563,0.35055,1.05136,0.94483,1,0.995,0.80619,0.8753,0.41559,1.18778,6.95e-05,6.95e-05,6.95e-05
